Year,TMAX,TMIN,PRCP,SNOW,SNWD
2010,25.6615,13.1174,2.5485,0.0,0.0
2011,27.4499,13.8118,1.3989,,
2012,27.0051,14.0677,2.0596,0.0,0.0
2013,25.86,12.9238,2.2455,0.0,0.0
2014,26.8977,13.9866,1.8077,0.0,
2015,24.8896,12.5012,3.4781,0.0,0.0
2016,26.1787,14.0844,2.6667,0.0,0.0
2017,26.4357,13.7362,2.3981,0.0137,0.0342
2018,25.282,12.7382,2.7522,0.0,0.0
2019,25.189,12.99,2.1303,0.0,0.0
2020,26.4107,13.8803,2.5076,0.0,0.0
2021,23.8791,11.7581,2.4991,0.1395,0.1191
2022,26.0998,13.0204,1.6057,0.0,0.0
2023,24.9863,12.3687,2.4865,0.0,0.0
2024,12.421,1.1453,1.9362,,
